EcoDistrict,Province,Acid_Soil,Poor_Soil,Percentage
743,AB,0,-1,0
743,AB,0,0,0
743,SK,-1,-1,0.69463083
743,SK,-1,0,0.17998823
743,SK,0,-1,0.02880192
743,SK,0,0,0.09657901
742,SK,-1,-1,1
742,SK,-1,0,0
742,SK,0,-1,0
742,SK,0,0,0
741,SK,-1,-1,0.39394617
741,SK,-1,0,0.47512854
741,SK,0,-1,0.03502978
741,SK,0,0,0.09589551
740,AB,-1,-1,0.13061832
740,AB,-1,0,0.8646608
740,AB,0,-1,0.00472088
740,AB,0,0,0
739,AB,-1,-1,0.66754315
739,AB,-1,0,0.11573435
739,AB,0,-1,0.2167225
739,AB,0,0,0
739,SK,-1,-1,0.97928367
739,SK,-1,0,0
739,SK,0,-1,0.02071633
739,SK,0,0,0
738,AB,-1,-1,0.43804077
738,AB,-1,0,0.56195923
738,AB,0,-1,0
738,AB,0,0,0
737,AB,-1,-1,0.03915678
737,AB,-1,0,0.96084322
737,AB,0,-1,0
737,AB,0,0,0
736,SK,-1,-1,0.61855628
736,SK,-1,0,0.35153413
736,SK,0,-1,0.01680603
736,SK,0,0,0.01310356
735,SK,-1,-1,0.56004679
735,SK,-1,0,0.37999108
735,SK,0,-1,0.05996213
735,SK,0,0,0
734,SK,-1,-1,0.91717071
734,SK,-1,0,0.01425298
734,SK,0,-1,0.06857631
734,SK,0,0,0
733,SK,-1,-1,0.77810923
733,SK,-1,0,0.1656759
733,SK,0,-1,0.00285346
733,SK,0,0,0.05336141
732,AB,-1,-1,0.65
732,AB,-1,0,0.35
732,AB,0,-1,0
732,AB,0,0,0
731,AB,-1,-1,0.55046683
731,AB,-1,0,0.44953317
731,AB,0,-1,0
731,AB,0,0,0
730,AB,-1,-1,0.12089105
730,AB,-1,0,0.87910895
730,AB,0,-1,0
730,AB,0,0,0
729,AB,-1,-1,0.24898156
729,AB,-1,0,0.75101844
729,AB,0,-1,0
729,AB,0,0,0
729,SK,-1,-1,0.51686943
729,SK,-1,0,0.47530704
729,SK,0,-1,0.00782353
729,SK,0,0,0
728,AB,-1,-1,0.23926674
728,AB,-1,0,0.76073326
728,AB,0,-1,0
728,AB,0,0,0
727,AB,-1,-1,0.15769244
727,AB,-1,0,0.84230756
727,AB,0,-1,0
727,AB,0,0,0
726,MB,-1,-1,0.88695044
726,MB,-1,0,0.01464482
726,MB,0,-1,0.06336116
726,MB,0,0,0.03504359
724,MB,-1,-1,0.02197325
724,MB,-1,0,0.52292371
724,MB,0,-1,0.09113175
724,MB,0,0,0.36397129
723,MB,-1,-1,0.18184408
723,MB,-1,0,0.10654159
723,MB,0,-1,0.00250121
723,MB,0,0,0.70911312
720,MB,-1,-1,0
720,MB,-1,0,1
720,MB,0,-1,0
720,MB,0,0,0
718,MB,-1,-1,0.33138418
718,MB,-1,0,0
718,MB,0,-1,0
718,MB,0,0,0.66861582
717,MB,-1,-1,0.08503449
717,MB,-1,0,0.07133383
717,MB,0,-1,0.02059402
717,MB,0,0,0.82303765
717,SK,-1,-1,0.52940422
717,SK,-1,0,0.47059578
717,SK,0,-1,0
717,SK,0,0,0
716,MB,-1,-1,0.3589339
716,MB,-1,0,0.40398237
716,MB,0,-1,0
716,MB,0,0,0.23708374
715,MB,-1,-1,0.31347122
715,MB,-1,0,0.63176568
715,MB,0,-1,0.05476311
715,MB,0,0,0
715,SK,-1,-1,0.85679548
715,SK,-1,0,0.14320452
715,SK,0,-1,0
715,SK,0,0,0
714,MB,-1,-1,0
714,MB,-1,0,0
714,MB,0,-1,0
714,MB,0,0,1
