ECODISTRIC,PROVINCE,YEAR,ANCOARSE,ANMED,ANFINE,PERCOARSE,PERMED,PERFINE,PERCAC,PERCAM,PERCAF,PERCPC,PERCPM,PERCPF
421,QC,1990,742.66,0,0,3579,0,0,100,0,0,100,0,0
422,QC,1990,51,0,0,344,0,0,100,0,0,100,0,0
423,QC,1990,765.66,622,0,5949,4143,0,55,45,0,59,41,0
424,QC,1990,1213.002,688.001,927,4810.999,4759.1,1143.9,43,24,33,45,44,11
425,QC,1990,6907.181,2282,5720.979,40723.601,24486.43,26809.771,46,15,38,44,27,29
426,QC,1990,2360,329,0,7869,744,0,88,12,0,91,9,0
431,QC,1990,4,0,0,50,0,0,100,0,0,100,0,0
438,QC,1990,291.42,0,0,883,0,0,100,0,0,100,0,0
439,QC,1990,137,0,0,415,0,0,100,0,0,100,0,0
440,QC,1990,197,0,0,674,0,0,100,0,0,100,0,0
441,QC,1990,12630.05,18651.944,2450.277,37093.72,58934.195,7034.675,37,55,7,36,57,7
455,NF,1990,0,0,0,352,0,0,,,,100,0,0
458,NF,1990,33,133.369,0,129,1076.999,0,20,80,0,11,89,0
460,NF,1990,0,14,0,0,78.001,0,0,100,0,0,100,0
461,NF,1990,0,195.669,0,0,962.998,0,0,100,0,0,100,0
462,NF,1990,0,15,0,0,121.999,0,0,100,0,0,100,0
463,NF,1990,0,113.002,0,0,968,0,0,100,0,0,100,0
466,NF,1990,20,214.549,0,75,1212.001,0,9,91,0,6,94,0
468,NF,1990,0,49.8,0,0,191,0,0,100,0,0,100,0
471,NF,1990,97,155.041,0,159,591.999,0,38,62,0,21,79,0
475,NF,1990,0,207.68,0,0,2721.999,0,0,100,0,0,100,0
477,NF,1990,0,0,0,191,0,0,,,,100,0,0
478,QC,1990,671,1106.798,0,3935,4139.4,0,38,62,0,49,51,0
479,QC,1990,3830.573,21618.865,3614.12,15239.825,91205.877,12199.3,13,74,12,13,77,10
481,QC,1990,0,2952,0,0,13127,0,0,100,0,0,100,0
482,QC,1990,7725.46,8382.842,0,88571,78823.799,0,48,52,0,53,47,0
483,QC,1990,6690.974,12745.027,340,50884.903,86449.501,1945.599,34,64,2,37,62,1
484,NB,1990,0,112,0,0,503,0,0,100,0,0,100,0
484,QC,1990,307,2857.97,0,1645,8806,0,10,90,0,16,84,0
485,NB,1990,419.037,417.962,0,1289.401,1193.599,0,50,50,0,52,48,0
486,NB,1990,609.1,5656.9,0,657.49,5181.51,0,10,90,0,11,89,0
487,NB,1990,270.807,547.196,0,1171.871,2830.132,0,33,67,0,29,71,0
487,QC,1990,20.662,1111.337,0,81.153,4535.849,0,2,98,0,2,98,0
488,NB,1990,12.667,152.333,0,80.667,925.333,0,8,92,0,8,92,0
489,NB,1990,139,519,0,400,1444,0,21,79,0,22,78,0
490,NB,1990,216,615,0,960.905,862.095,0,26,74,0,53,47,0
493,NB,1990,1504.212,14513.463,999.323,1829.269,14788.895,676.839,9,85,6,11,86,4
494,NB,1990,0,11396.001,0,0,12692,0,0,100,0,0,100,0
495,NB,1990,123,344,0,998.99,2251.01,0,26,74,0,31,69,0
496,NB,1990,1986.082,281.374,134.543,18609.506,3264.722,1554.771,83,12,6,79,14,7
497,NB,1990,73.75,641.25,0,1020.5,2778.499,0,10,90,0,27,73,0
498,NB,1990,209,0,0,1930,0,0,100,0,0,100,0,0
499,NB,1990,378.08,261.22,11.7,1586,2981.649,90.35,58,40,2,34,64,2
500,NB,1990,4821.926,135.572,186.5,11933.465,260.895,943.2,94,3,4,91,2,7
501,NB,1990,641.5,1640.5,0,1547.729,3539.27,0,28,72,0,30,70,0
502,NB,1990,249.81,553.186,0,1426.309,2998.69,0,31,69,0,32,68,0
503,NB,1990,1617.947,1622.05,18,8934.715,14304.284,135,50,50,1,38,61,1
504,NB,1990,1309,422,0,7426.002,444,0,76,24,0,94,6,0
504,NS,1990,4259.485,1461.021,0,21988.258,8530.748,0,74,26,0,72,28,0
505,NB,1990,173,761,0,1104,5191.002,0,19,81,0,18,82,0
506,NB,1990,14,404,0,788.96,1776.04,0,3,97,0,31,69,0
507,NB,1990,214,1147,0,1829,7174.5,0,16,84,0,20,80,0
