Ecodistrict_ID,Province_ID,F_TOPO,P,PE
466,NL,0.031735044,553.3766667,460.4566667
468,NL,0.05,552.73,407.9266667
471,NL,0.295994605,579.7133333,383.9333333
475,NL,0.027681101,616.5566667,399.6933333
477,NL,0.05,753.0666667,333.2433333
478,QC,0.119450778,536.8933333,471.9133333
479,QC,0.139379797,520.0533333,466.54
481,QC,0.578479435,535.17,501.5833333
482,QC,0.250978659,663.0066667,546.74
483,QC,0.248607071,613.1733333,586.4833333
484,NB,0.05,543.7233333,503.6933333
484,QC,0.054502311,543.7233333,503.6933333
485,NB,0.005610391,536.78,506.5066667
486,NB,0.074982899,601.5166667,563.6433333
487,NB,0.08241035,582.8633333,559.1466667
487,QC,0.339731376,582.8633333,559.1466667
488,NB,0.016698449,589.9066667,599.6833333
489,NB,0.026411899,614.94,556.52
490,NB,0.05,594.37,557.38
493,NB,0.087045556,577.7033333,566.3066667
494,NB,0.104939084,567.13,593.6566667
495,NB,0.05,573.2666667,582.59
496,NB,0.068841459,556.7233333,581.2933333
497,NB,0.00192926,568.75,574.88
498,NB,0.05,614.17,528.28
499,NB,0.035639992,590.1766667,566.94
500,NB,0.000819317,543.6066667,513.7666667
501,NB,0.014236376,547.3533333,538.94
502,NB,0.012579632,579.21,608.3166667
503,NB,0.006749125,567.2333333,553.1833333
504,NB,0.05,550.2533333,487.7466667
504,NS,0.061080669,550.2533333,487.7466667
505,NB,0.05,528.0166667,576.0733333
506,NB,0.006262202,568.1666667,593.3166667
507,NB,0.031135672,580.82,534.9
507,NS,0.058194188,580.82,534.9
508,NB,0.02359051,613.4933333,522.46
509,NS,0.018586922,568.82,554.3433333
510,NS,0.280099733,616.0233333,565.8066667
511,NS,0.232222866,617.0766667,534.9033333
512,NS,0.173309517,625.4466667,577.34
513,NS,0.152887326,583.6833333,500.6766667
514,NS,0.05,627.67,556.7533333
516,NS,0.038690182,654.1066667,523.44
517,NS,0.132271369,607.4666667,544.04
518,NS,0.072749216,564.4533333,562.8966667
519,NS,0.212074639,669.0233333,528.7533333
520,NS,0.223501985,640.48,522.5366667
521,NS,0.05,667.4366667,473.2933333
522,NS,0.266804051,645.01,496.5733333
523,NS,0.413034575,665.4166667,475.0033333
524,NS,0.43047783,670.7466667,465.6666667
525,NS,0.140747305,659.7433333,490.39
527,NS,0.186076051,652.37,522.65
528,NS,0.149261075,587.33,511.1333333
529,NS,0.436335362,677.0033333,474.6566667
530,NS,0.08076818,587.1366667,533.46
531,NS,0.175689976,622.61,544.9433333
534,PE,0.05,548.6,463.6466667
535,PE,0.05,558.5933333,464.21
536,PE,0.006043776,586.8633333,470.6733333
537,PE,0.238689358,569.99,460.8733333
538,PE,0.300025644,584.1033333,475.8133333
539,QC,0.05,657.68,469.2166667
540,QC,0.110536514,652.0766667,556.4933333
541,ON,0.201933844,557.5566667,562.78
541,QC,0.095199893,557.5566667,562.78
542,ON,0.113979618,467.98,602.6233333
543,ON,0.053065305,524.98,596.11
543,QC,0.051935333,524.98,596.11
544,ON,0.055527885,523.9233333,600.95
545,ON,0.083736268,483.4,585.8633333
546,ON,0.016026025,526.4633333,600.92
546,QC,0.099781538,526.4633333,600.92
547,ON,0.311533245,512.86,594.15
548,QC,0.05,541.22,586.6566667
549,ON,0.21500465,503.4566667,574.4466667
550,ON,0.0513369,525.5,588.7966667
551,ON,0.067217053,505.3166667,541.4233333
552,ON,0.061332726,500.53,592.6966667
553,ON,0.056847746,479.8466667,571.5233333
554,ON,0.026789664,451.1966667,625.9333333
555,ON,0.064618955,449.08,517.9666667
556,ON,0.154142227,528.11,541.0866667
557,ON,0.020768272,525.5,588.7966667
558,ON,0.08294703,529.8166667,572.79
559,ON,0.05,476.3933333,590.0133333
560,ON,0.096331323,489.6533333,600.5033333
561,ON,0.05,471.4266667,566.0866667
562,ON,0.021172859,460.5733333,585.6133333
563,ON,0.099337748,445.0733333,531.33
564,ON,0.109390506,476.8,595.6133333
565,ON,0.081798746,505.6366667,574.5066667
566,ON,0.120927988,470.7966667,570.81
567,ON,0.078428955,516.3533333,610.7266667
568,ON,0.070784149,521.11,613.1
569,ON,0.156645323,490.3833333,567.9233333
570,ON,0.101958707,482.9066667,606.81
571,ON,0.046624997,512.89,608.29
572,ON,0.087765375,471.2333333,577.9366667
581,BC,0.004986848,322.45,443.6466667
583,AB,0.16345045,307.5566667,526.0033333
583,BC,0.052419795,307.5566667,526.0033333
584,AB,0.134838683,290.5666667,539
585,BC,0.01356447,322.45,443.6466667
586,AB,0.047317949,285.06,505.1866667
587,AB,0.090105459,281.1666667,503.17
588,AB,0.009749434,284.6466667,543.5266667
589,AB,0.05,298.8033333,546.8933333
590,AB,0.05,296.6766667,512.41
591,AB,0.05,322.7366667,485
591,BC,0.036830108,322.7366667,485
592,AB,0.05,319.5733333,520.3466667
593,AB,0.023490352,318.0066667,504.4366667
594,AB,0.05,322.05,503.8233333
595,AB,0.05,310.4433333,528.1166667
596,AB,0.010129654,307.7533333,526.6433333
597,AB,0.026139052,316.1733333,517.04
598,AB,0.011872502,318.3566667,492.9666667
599,AB,0.012522877,314.1066667,509.4166667
600,AB,0.057948639,326.6466667,514.9366667
609,AB,0.150233662,375.92,498.3333333
610,AB,0.028189212,334.0766667,519.9733333
610,BC,0.05,334.0766667,519.9733333
611,AB,0.154392242,311.11,529.38
612,AB,0.068428723,316.41,520.42
615,AB,0.097496819,371.0133333,492.8866667
616,AB,0.043680992,368.68,496.0966667
617,AB,0.05,380.1433333,513.8633333
618,AB,0.123225254,342.2333333,527.69
618,BC,0.061754861,342.2333333,527.69
619,AB,0.163401473,395.65,512.5433333
622,AB,0.111686815,417.35,525.6866667
623,AB,0.027389005,432.8956522,539.8043478
625,AB,0.083067268,440,541.3652174
626,AB,0.109224284,440,541.6347826
629,AB,0.087038034,403.6033333,542.5033333
630,AB,0.082509535,391.57,546.5566667
631,AB,0.05,336.1433333,571.0433333
647,SK,0.154526962,326.9566667,554.1
650,AB,0.116180964,321.6733333,516.7833333
652,SK,0.209908279,321.0633333,534.1266667
657,SK,0.101296356,330.7366667,537.4633333
658,SK,0.150592362,332.3166667,537.83
660,SK,0.170062911,325.7166667,549.1266667
661,SK,0.103833459,332.3666667,509.2133333
662,SK,0.226134383,351.8208333,557.1833333
667,MB,0.099197159,327.6033333,487.89
669,MB,0.05,329.76,509.63
669,SK,0.150195807,329.76,509.63
672,SK,0.024742318,339.2166667,528.3733333
677,MB,0.05,413.0266667,514.9666667
678,AB,0.036946825,368.99,507.7266667
679,AB,0.138682261,336.9566667,538.83
680,AB,0.013190133,316.77,513.9933333
680,SK,0.13282278,316.77,513.9933333
681,AB,0.006602634,369.9666667,525.7933333
682,SK,0.133104996,323.45,551.7966667
683,AB,0.046831617,359.6633333,524.6666667
684,AB,0.082179954,378.2766667,529.24
685,SK,0.076759704,323.9533333,551.1266667
686,AB,0.085520719,311.1366667,537.8733333
686,SK,0.151040304,311.1366667,537.8733333
687,AB,0.019470897,307.57,543.7266667
687,SK,0.167066413,307.57,543.7266667
688,AB,0.127763542,315.2666667,551.4533333
689,SK,0.116358508,325.9866667,549.1266667
690,SK,0.096845366,298.01,568.7766667
691,SK,0.008488832,339.3266667,556.9233333
692,AB,0.044171248,378.5333333,538.6033333
693,SK,0.086970586,336.96,556.18
694,SK,0.083834373,337.34,554.8066667
695,SK,0.094759891,299.88,550.47
696,SK,0.109105503,321.7666667,567.7833333
697,SK,0.060831545,337.19,558.6733333
698,SK,0.096352233,329.48,559.2933333
699,SK,0.0702037,290.78,570.3566667
700,SK,0.029352596,330.5,559.02
701,SK,0.124433684,316.4066667,567.0033333
702,SK,0.100422315,318.8633333,554.1666667
703,AB,0.143799491,388.6433333,548.0933333
704,SK,0.009613593,368.15,548.2933333
705,SK,0.049365516,313.6633333,546.15
706,SK,0.092016094,311.7133333,556.4366667
707,SK,0.081707642,325.8266667,548.2533333
708,AB,0.136515026,379.23,551.55
709,MB,0.059180198,355.4466667,581.3633333
709,SK,0.110291887,355.4466667,581.3633333
710,SK,0.20079949,315.57,538.8
711,SK,0.148933047,312.48,547.2666667
714,MB,0.05,366.4466667,556.4533333
714,SK,0.125147591,366.4466667,556.4533333
715,MB,0.068743828,359.8166667,573.0666667
715,SK,0.103359565,359.8166667,573.0666667
716,MB,0.166615691,371.4233333,574.55
717,MB,0.018623068,373.42,568.6
718,MB,0.05,374.8566667,555.6133333
720,MB,0.05,362.39,575.59
723,MB,0.05,374.36,572.01
724,MB,0.001194116,379.9266667,558.8833333
726,MB,0.002817859,400.5166667,609.4
727,AB,0.000226952,362.7066667,530.34
728,AB,0.060510724,324.97,547.8633333
729,AB,0.061592148,295.3433333,556.3833333
729,SK,0.13090973,295.3433333,556.3833333
730,AB,0.128964499,312.23,558.7766667
731,AB,0.136113521,344.8333333,532.7766667
732,AB,0.225005922,355.3566667,529.0866667
