Inv_Year,Province_Sale_ID,Fert_ID,Fert_Name,Fraction
2001,SK,4,Other,0.208331571
2002,AB,1,Urea,0.421814135
2002,AB,2,Urea ammonium nitrate,0.016230755
2002,AB,3,Anhydrous ammonia,0.347941013
2002,AB,4,Other,0.214014098
2002,Atlantic,1,Urea,0.194534808
2002,Atlantic,2,Urea ammonium nitrate,0
2002,Atlantic,3,Anhydrous ammonia,0.026675342
2002,Atlantic,4,Other,0.77878985
2002,BC,1,Urea,0.629977876
2002,BC,2,Urea ammonium nitrate,0
2002,BC,3,Anhydrous ammonia,0.113384956
2002,BC,4,Other,0.256637168
2002,MB,1,Urea,0.353500286
2002,MB,2,Urea ammonium nitrate,0.043142674
2002,MB,3,Anhydrous ammonia,0.386935859
2002,MB,4,Other,0.21642118
2002,ON,1,Urea,0.53394234
2002,ON,2,Urea ammonium nitrate,0
2002,ON,3,Anhydrous ammonia,0.230221254
2002,ON,4,Other,0.235836406
2002,QC,1,Urea,0.506462422
2002,QC,2,Urea ammonium nitrate,0
2002,QC,3,Anhydrous ammonia,0.107946386
2002,QC,4,Other,0.385591192
2002,SK,1,Urea,0.478599698
2002,SK,2,Urea ammonium nitrate,0.06340528
2002,SK,3,Anhydrous ammonia,0.265983924
2002,SK,4,Other,0.192011098
2003,AB,1,Urea,0.485962176
2003,AB,2,Urea ammonium nitrate,0.02251901
2003,AB,3,Anhydrous ammonia,0.283778514
2003,AB,4,Other,0.2077403
2003,Atlantic,1,Urea,0.189017557
2003,Atlantic,2,Urea ammonium nitrate,0
2003,Atlantic,3,Anhydrous ammonia,0
2003,Atlantic,4,Other,0.810982443
2003,BC,1,Urea,0.759291421
2003,BC,2,Urea ammonium nitrate,0.019451198
2003,BC,3,Anhydrous ammonia,0.056964224
2003,BC,4,Other,0.164293157
2003,MB,1,Urea,0.309246071
2003,MB,2,Urea ammonium nitrate,0.125491159
2003,MB,3,Anhydrous ammonia,0.417853635
2003,MB,4,Other,0.147409136
2003,ON,1,Urea,0.528516435
2003,ON,2,Urea ammonium nitrate,0.18904353
2003,ON,3,Anhydrous ammonia,0.140835061
2003,ON,4,Other,0.141604975
2003,QC,1,Urea,0.400913053
2003,QC,2,Urea ammonium nitrate,0.139448018
2003,QC,3,Anhydrous ammonia,0.042539946
2003,QC,4,Other,0.417098983
2003,SK,1,Urea,0.481575236
2003,SK,2,Urea ammonium nitrate,0.112899143
2003,SK,3,Anhydrous ammonia,0.252052219
2003,SK,4,Other,0.153473403
2004,AB,1,Urea,0.476188332
2004,AB,2,Urea ammonium nitrate,0.016392335
