ECODISTRIC,PROVINCE,Inv_Year_ID,ANCOARSE,ANMED,ANFINE,PERCOARSE,PERMED,PERFINE,Frac_Coarse,Frac_Medium,Frac_Fine
581,BC,1990,118.8,3778.08,0,147.2,4899,0,0.029743668,0.970256332,0
583,BC,1990,0,4859.211,1309.129,0,6312.558,1558.445,0,0.79574728,0.20425272
585,BC,1990,973.778,31967.176,0.625,1884.222,53661.907,1.875,0.032297587,0.967674161,2.83E-05
591,BC,1990,18647.571,90723.189,20954.438,30136.388,125124.989,22758.683,0.158212127,0.700021072,0.141766802
610,BC,1990,0,0,0,0,0.999,0,0,1,0
618,BC,1990,427.845,4428.266,1046.148,1197.441,15220.338,4458.221,0.060694237,0.733752108,0.205553655
940,BC,1990,92,23,0,438,97,0,0.815384615,0.184615385,0
943,BC,1990,0,1,0,0,5,0,0,1,0
944,BC,1990,130.174,15.526,0.3,900.661,125.139,4.2,0.876560374,0.119613095,0.003826531
948,BC,1990,0,0,0,0,0,0,0,0,0
950,BC,1990,37.706,463.759,0,210.899,1971.102,0,0.092643246,0.907356754,0
955,BC,1990,40.358,13.143,138.4,278,97,446,0.314303175,0.108740143,0.576956682
956,BC,1990,552.111,433.617,369.782,4808.151,4509.933,1838.915,0.428392259,0.395088627,0.176519114
957,BC,1990,68.772,62.073,0,364.629,224.367,0,0.602078792,0.397921208,0
958,BC,1990,14.751,4.249,0,37.609,16.392,0,0.717250449,0.282749551,0
959,BC,1990,3075.695,17143.477,363.867,5929.469,32031.315,1072.47,0.151052062,0.82485491,0.024093028
960,BC,1990,12,0,0,48,0,0,1,0,0
962,BC,1990,0,19,0,0,89,0,0,1,0
969,BC,1990,0,90.49,0,0,206,0,0,1,0
971,BC,1990,45.6,3.4,0,409.45,27.549,0,0.936318799,0.063681201,0
972,BC,1990,2288.519,1228.372,2351.919,20799.908,10647.377,18857.714,0.411017651,0.211410784,0.377571565
974,BC,1990,215.063,72.817,79.12,2104.643,665.317,823.04,0.585784343,0.186397475,0.227818182
975,BC,1990,17,0,0,661,0,0,1,0,0
976,BC,1990,346.802,539.763,0,4217.485,7631.514,0,0.358389075,0.641610925,0
977,BC,1990,262.97,457.472,0,6331.311,7806.689,0,0.443807029,0.556192971,0
978,BC,1990,439.463,1027.845,0,5018.91,11918.093,0,0.296581219,0.703418781,0
979,BC,1990,2643.92,7782.083,0,19691.249,50949.751,0,0.275514922,0.724485078,0
980,BC,1990,24,6.4,1.6,192,51.2,12.8,0.75,0.2,0.05
981,BC,1990,0,40,17,0,416,167,0,0.7125,0.2875
982,BC,1990,1720.083,1603.792,2079.331,17730.075,18518.839,25083.088,0.291452722,0.301529457,0.407017822
987,BC,1990,6,8,0,106,121,0,0.46473029,0.53526971,0
988,BC,1990,291.91,173.09,0,1029.255,575.745,0,0.638243961,0.361756039,0
990,BC,1990,125.919,23.075,0,813.544,83.454,0,0.898155053,0.101844947,0
991,BC,1990,136.896,2814.132,506.921,382.939,6500.878,1886.183,0.042512035,0.761780246,0.195707718
992,BC,1990,2.4,6.6,0,38.667,106.333,0,0.266668831,0.733331169,0
995,BC,1990,16.617,72.38,0,130.043,559.956,0,0.188267976,0.811732024,0
1001,BC,1990,1027.608,781.419,0,3629.99,2736.013,0,0.569734668,0.430265332,0
1002,BC,1990,152.6,21.4,0,953.3,134.7,0,0.876307448,0.123692552,0
1003,BC,1990,6,0,0,52,0,0,1,0,0
1004,BC,1990,463.852,1074.321,350.55,3033.38,6433.524,2620.1,0.250236142,0.537206043,0.212557815
1005,BC,1990,2182.262,2977.467,0,12159.564,18686.435,0,0.398320678,0.601679322,0
1006,BC,1990,2093.59,3078.635,0,20153.204,35404.804,0,0.366321565,0.633678435,0
1007,BC,1990,3534.574,3453.093,3418.461,4035.151,4414.219,4826.628,0.319638744,0.332204634,0.348156622
1008,BC,1990,1011.938,369.374,336.691,4622.097,2107.116,1452.785,0.569094387,0.25015048,0.180755133
1009,BC,1990,1128.266,198.863,0,2454.977,644.02,0,0.809566424,0.190433576,0
1010,BC,1990,1756.501,848.534,0,1257.85,788.148,0,0.64810355,0.35189645,0
1011,BC,1990,780.488,134.491,0,2655.634,506.368,0,0.842810403,0.157189597,0
1012,BC,1990,82.882,32.117,0,1062.57,192.432,0,0.83609574,0.16390426,0
1013,BC,1990,355.612,259.221,268.167,2117.055,1251.222,1222.722,0.451711263,0.275930449,0.272358289
1015,BC,1990,296.341,244.658,0,3152.547,2746.451,0,0.535541864,0.464458136,0
1017,BC,1990,26.28,30.72,0,814.72,545.28,0,0.59350741,0.40649259,0
371,MB,1990,0,0,93,0,0,71,0,0,1
375,MB,1990,1965.032,15443.954,39975.434,1841.086,10257.988,19113.577,0.042959863,0.290099229,0.666940908
376,MB,1990,0,17,0,0,39,0,0,1,0
379,MB,1990,890.711,568.69,0,2040.592,1522.407,0,0.583645867,0.416354133,0
380,MB,1990,2496.641,189.766,2776.893,3453.987,1667.845,2173.168,0.466412296,0.145600198,0.387987506
667,MB,1990,0,235,0,0,314,0,0,1,0
669,MB,1990,0,18349.849,0,0,11516,0,0,1,0
677,MB,1990,0,0,4445,0,0,4742,0,0,1
709,MB,1990,4693.269,160493.073,14810.509,3643.801,62204.496,2953.701,0.033509279,0.895090833,0.071399888
714,MB,1990,0,1907,0,0,1393,0,0,1,0
715,MB,1990,1006.434,18189.809,13130.857,1071.1,9467.033,8077.867,0.04078146,0.542896722,0.416321818
716,MB,1990,4948.649,41976.55,21260.55,3050,22158.5,12551.5,0.075497593,0.605357465,0.319144943
717,MB,1990,49648.67,47921.546,14111.284,21233.618,23060.451,2856.926,0.446270695,0.446898457,0.106830847
718,MB,1990,0,4605.7,0,0,7522,0,0,1,0
720,MB,1990,0,0,2544.6,0,0,5151,0,0,1
723,MB,1990,120,40876.252,4089.7,254,91638.998,3394,0.002664331,0.944022691,0.053312978
724,MB,1990,3146.449,28725.231,135557.971,6292.864,21443.808,74813.328,0.034963054,0.185825261,0.779211686
726,MB,1990,57886.988,0,1651.961,62793.269,0,880.731,0.979444596,0,0.020555404
751,MB,1990,9321.447,34924.903,0,6782.442,11914.558,0,0.255847345,0.744152655,0
752,MB,1990,0,127651.539,1186.46,0,30938.729,264.27,0,0.99093526,0.00906474
753,MB,1990,3701.78,486173.713,6960.509,1506.319,102221.189,2309.494,0.008638799,0.975984823,0.015376378
757,MB,1990,36871.663,27261.338,1572.65,17717.728,6832.271,0,0.604830734,0.377744872,0.017424394
758,MB,1990,35946.33,122941.81,8856.251,14078.679,29154.293,6395.507,0.230134556,0.699701407,0.070164037
759,MB,1990,5192.247,36817.753,0,6798.81,11460.191,0,0.198958947,0.801041053,0
760,MB,1990,0,96062.001,0,2832.756,12706.245,0,0.02538289,0.97461711,0
763,MB,1990,75034.321,55403.357,5312.322,40363.806,14529.476,4628.715,0.590960961,0.358130372,0.050908667
764,MB,1990,564.46,77029.542,0,975.829,17547.17,0,0.016025146,0.983974854,0
765,MB,1990,3804.597,373022.403,0,7060.736,55545.816,0,0.02472577,0.97527423,0
766,MB,1990,1144.279,193770.719,0,644.057,34762.947,0,0.007764504,0.992235496,0
839,MB,1990,9081.99,80747.644,9872.366,1831.827,22327.666,2781.508,0.086177814,0.813904513,0.099917673
840,MB,1990,48894.661,12685.617,13248.721,22284.072,12164.988,5950.939,0.617715456,0.215662771,0.166621773
841,MB,1990,19770.948,26637.552,0,1537.085,44741.916,0,0.229891116,0.770108884,0
843,MB,1990,18234.922,11136.078,0,13528.652,5993.348,0,0.649654838,0.350345162,0
844,MB,1990,10803.034,41968.741,6359.228,8110.308,27420.979,3929.716,0.191834437,0.703806757,0.104358806
846,MB,1990,0,21276,0,0,34070.999,0,0,1,0
847,MB,1990,0,29786.8,20939.9,0,10955.251,4355.75,0,0.616951384,0.383048616
