Year,Province_ID,Crop_Type,Fert_ID,Description,Fertilizer_Applied,Emissions,IEF
2016,ON,Annual,3,Anhydrous ammonia,17220000,933512.6571,0.054210956
2016,ON,Annual,4,Other,40228871.77,1463515.596,0.036379733
2016,PE,Annual,1,Urea,37089.48839,3247.151525,0.087549105
2016,PE,Annual,2,Urea ammonium nitrate,0,0,
2016,PE,Annual,3,Anhydrous ammonia,0,0,
2016,PE,Annual,4,Other,15443740.81,493606.1706,0.031961568
2016,QC,Annual,1,Urea,32243705.68,2890363.769,0.089641178
2016,QC,Annual,2,Urea ammonium nitrate,31245898.12,1718673.377,0.055004768
2016,QC,Annual,3,Anhydrous ammonia,6560000,317660.2001,0.048423811
2016,QC,Annual,4,Other,47710460.53,1554727.971,0.032586732
2016,SK,Annual,1,Urea,498586041.9,30850374.55,0.061875728
2016,SK,Annual,2,Urea ammonium nitrate,128800000,6082896.11,0.047227454
2016,SK,Annual,3,Anhydrous ammonia,213200000,11078791.52,0.051964313
2016,SK,Annual,4,Other,172980000,6806410.44,0.039347962
2017,AB,Annual,1,Urea,335526679.4,20099018.61,0.059902893
2017,AB,Annual,2,Urea ammonium nitrate,20873520.87,953064.2363,0.045659007
2017,AB,Annual,3,Anhydrous ammonia,69124317.96,3472705.66,0.050238552
2017,AB,Annual,4,Other,83232692.42,3166271.205,0.038041196
2017,BC,Annual,1,Urea,10522742.94,609644.0141,0.057935846
2017,BC,Annual,2,Urea ammonium nitrate,0,0,
2017,BC,Annual,3,Anhydrous ammonia,0,0,
2017,BC,Annual,4,Other,6685082.272,245638.4009,0.03674426
2017,MB,Annual,1,Urea,147742135.9,10498051.92,0.071056587
2017,MB,Annual,2,Urea ammonium nitrate,53000000,2881273.065,0.054363643
2017,MB,Annual,3,Anhydrous ammonia,116440000,6965004.474,0.059816253
2017,MB,Annual,4,Other,72841783.02,3299569.823,0.045297763
2017,NB,Annual,1,Urea,26385.03288,2324.182221,0.088087145
2017,NB,Annual,2,Urea ammonium nitrate,0,0,
2017,NB,Annual,3,Anhydrous ammonia,0,0,
2017,NB,Annual,4,Other,7618888.506,245605.5683,0.032236404
2017,NL,Annual,1,Urea,0,0,
2017,NL,Annual,2,Urea ammonium nitrate,0,0,
2017,NL,Annual,3,Anhydrous ammonia,0,0,
2017,NL,Annual,4,Other,133.3485316,4.262028147,0.031961568
2017,NS,Annual,1,Urea,0,0,
2017,NS,Annual,2,Urea ammonium nitrate,0,0,
2017,NS,Annual,3,Anhydrous ammonia,0,0,
2017,NS,Annual,4,Other,736293.6905,23533.10079,0.031961568
2017,ON,Annual,1,Urea,66852682.12,6663464.633,0.099673856
2017,ON,Annual,2,Urea ammonium nitrate,79520000,4893145.338,0.061533518
2017,ON,Annual,3,Anhydrous ammonia,11794520.55,638926.1512,0.054171439
2017,ON,Annual,4,Other,37173623.24,1350794.161,0.036337436
2017,PE,Annual,1,Urea,28621.88605,2505.820516,0.087549105
2017,PE,Annual,2,Urea ammonium nitrate,0,0,
2017,PE,Annual,3,Anhydrous ammonia,0,0,
2017,PE,Annual,4,Other,13780515.25,440446.8738,0.031961568
2017,QC,Annual,1,Urea,26837461.25,2404635.012,0.089599944
2017,QC,Annual,2,Urea ammonium nitrate,25200000,1386048.005,0.055001905
2017,QC,Annual,3,Anhydrous ammonia,5740000,277938.2076,0.048421291
2017,QC,Annual,4,Other,29647400.12,966042.8322,0.032584403
2017,SK,Annual,1,Urea,544643696.8,33701779.34,0.061878581
2017,SK,Annual,2,Urea ammonium nitrate,136360000,6440161.54,0.047229111
2017,SK,Annual,3,Anhydrous ammonia,195160000,10141711.01,0.051966136
2017,SK,Annual,4,Other,173540000,6828684.801,0.039349342
2018,AB,Annual,1,Urea,392601403.3,23519620.32,0.059907122
2018,AB,Annual,2,Urea ammonium nitrate,17846579.03,814848.0652,0.045658502
2018,AB,Annual,3,Anhydrous ammonia,89618295.75,4502243.639,0.050237997
2018,AB,Annual,4,Other,102333702,3892853.407,0.038040776
2018,BC,Annual,1,Urea,11760980.63,681380.3458,0.057935675
2018,BC,Annual,2,Urea ammonium nitrate,0,0,
2018,BC,Annual,3,Anhydrous ammonia,1124474.296,54549.82107,0.048511399
2018,BC,Annual,4,Other,7724632.519,283848.5407,0.036745896
2018,MB,Annual,1,Urea,150738322.9,10709801.21,0.071048961
2018,MB,Annual,2,Urea ammonium nitrate,45314285.71,2463207.031,0.054358289
2018,MB,Annual,3,Anhydrous ammonia,134480000,8043297.465,0.059810362
2018,MB,Annual,4,Other,76279190.31,3454760.729,0.045290999
2018,NB,Annual,1,Urea,0,0,
2018,NB,Annual,2,Urea ammonium nitrate,0,0,
2018,NB,Annual,3,Anhydrous ammonia,0,0,
2018,NB,Annual,4,Other,8864199.486,285792.7263,0.032241234
2018,NL,Annual,1,Urea,0,0,
2018,NL,Annual,2,Urea ammonium nitrate,0,0,
2018,NL,Annual,3,Anhydrous ammonia,0,0,
2018,NL,Annual,4,Other,98.75583197,3.156391229,0.031961568
2018,NS,Annual,1,Urea,0,0,
2018,NS,Annual,2,Urea ammonium nitrate,0,0,
2018,NS,Annual,3,Anhydrous ammonia,0,0,
2018,NS,Annual,4,Other,997976.668,31896.89904,0.031961568
2018,ON,Annual,1,Urea,71022733.9,7074120.092,0.099603602
2018,ON,Annual,2,Urea ammonium nitrate,64220000,3948638.168,0.061486113
2018,ON,Annual,3,Anhydrous ammonia,11480000,621409.0225,0.054129706
2018,ON,Annual,4,Other,35044952.53,1272841.591,0.036320254
2018,PE,Annual,1,Urea,0,0,
2018,PE,Annual,2,Urea ammonium nitrate,0,0,
2018,PE,Annual,3,Anhydrous ammonia,0,0,
2018,PE,Annual,4,Other,16045784.65,512848.4356,0.031961568
2018,QC,Annual,1,Urea,42425751.17,3800356.362,0.089576643
2018,QC,Annual,2,Urea ammonium nitrate,33020000,1816171.745,0.055002173
2018,QC,Annual,3,Anhydrous ammonia,15580000,754407.3796,0.048421526
2018,QC,Annual,4,Other,37764812.97,1230562.136,0.032584886
2018,SK,Annual,1,Urea,545528280.6,33759739.72,0.061884491
2018,SK,Annual,2,Urea ammonium nitrate,133640000,6311766.787,0.047229623
2018,SK,Annual,3,Anhydrous ammonia,230420000,11974166.77,0.051966699
2018,SK,Annual,4,Other,198700000,7818799.011,0.039349769
2019,AB,Annual,1,Urea,412147716.8,24693065.48,0.059913144
2019,AB,Annual,2,Urea ammonium nitrate,24502475.31,1118753.092,0.045658778
2019,AB,Annual,3,Anhydrous ammonia,84089894.39,4224533.405,0.050238301
2019,AB,Annual,4,Other,121429891.9,4619315.251,0.038041006
2019,BC,Annual,1,Urea,11702440.26,677822.053,0.057921428
2019,BC,Annual,2,Urea ammonium nitrate,0,0,
2019,BC,Annual,3,Anhydrous ammonia,572526.6019,27775.29042,0.048513537
2019,BC,Annual,4,Other,8379386.196,307915.413,0.036746774
